Country,GDP,Percentage
China,16700,52.97777800230345
India,7200,29.20022419123884
United States,59500,75.56329836794792
Brazil,15600,59.24244470156748
Japan,42800,92.1824225304334
Russia,27800,76.46166667647283
Mexico,19900,58.867471545909424
Germany,50400,89.79034138477053
Indonesia,12400,25.145843952802664
United Kingdom,44100,93.01785428671965
France,43800,85.27769156694868
Philippines,8300,54.6312869093596
Vietnam,6900,51.72724176850657
Nigeria,5900,25.05342157170344
Turkey,26900,57.93591123482076
South Korea,39400,86.26783778973645
Spain,38300,79.9118774053575
Italy,38100,61.19569694467146
Egypt,12700,38.25445889550767
Iran,20200,43.97624019946754
Thailand,17900,47.356848113332134
Canada,48300,89.18234724767345
Pakistan,5400,15.292783338767277
Argentina,20900,69.50688674242396
South Africa,13500,53.467451103499045
Bangladesh,4200,18.057366738319576
Poland,29500,73.39022398455526
Colombia,14500,57.55429664867617
Malaysia,29000,77.70364609104483
Ukraine,8700,52.691405257688665
Saudi Arabia,54800,72.68872736970793
Taiwan,50300,87.63240145193886
Australia,50300,87.32803174599212
Morocco,8600,57.70395174223529
Venezuela,12100,59.24920623603055
Algeria,15200,42.20575564085653
Ethiopia,2200,14.932831526752437
Netherlands,53600,90.05242052854366
Myanmar,6200,25.87685242534198
Kazakhstan,26300,75.98739280016305
Peru,13300,45.028762119217994
Uzbekistan,6900,46.35835949203968
Romania,24500,59.69677519710086
Kenya,3500,25.549528906817976
Chile,24500,65.4936485016499
Sudan,4600,27.537829753090932
Belgium,46600,85.89710900707367
Ghana,4700,33.92015919753087
Sweden,51500,90.77294112225637
Ecuador,11500,53.36557257410925
Uganda,2400,21.184623500683912
Czech Republic,35500,76.2671125049334
Iraq,17000,20.663344722615225
Hungary,29500,79.4520165528947
Azerbaijan,17500,77.50421728038921
Portugal,30400,70.38655054091909
Greece,27700,69.11855780534239
Austria,49900,83.91259356852368
Switzerland,61400,88.78672870582834
Sri Lanka,12800,31.801592377763583
Tanzania,3200,12.646220125749444
Belarus,18900,71.26666287599033
Yemen,1300,24.014584530939644
Israel,36300,78.57554231439042
Dominican Republic,16900,60.60041286547626
Ivory Coast,3900,26.039799361665445
Cameroon,3700,24.365789240478602
Hong Kong,61400,84.34954417734374
Nepal,2700,19.453992722711728
Tunisia,11800,49.67854574790859
Syria,2900,30.37876204013978
Denmark,49900,96.75739054304464
United Arab Emirates,67700,88.43674119695841
Guatemala,8100,33.90494059401586
Norway,71800,96.294373449848635
Jordan,12500,49.76229180346073
Finland,44300,87.38325132543643
Serbia,15000,67.36706274651864
Lebanon,19400,76.20704633251115
Singapore,93900,79.52553657492045
Mozambique,1200,17.096915274068284
Slovakia,33000,80.47549785349484
Bolivia,7500,39.096664695677966
Cuba,12300,38.879194058313296
Bulgaria,21700,60.18900205730894
Cambodia,4000,25.180508656676924
Ireland,75500,81.20832503509207
New Zealand,38900,87.7684034882615
Zambia,4000,24.76992081330323
Senegal,2700,25.055073714993238
Afghanistan,2000,10.349566478185036
Paraguay,9800,50.75140353057625
Zimbabwe,2300,24.36244502387671
Costa Rica,16900,65.25575335002752
Croatia,24400,73.06336416132449
Democratic Republic of the Congo,800,3.6205982315898613
Puerto Rico,37300,85.74114952830203
Burkina Faso,1900,13.546929159648766
Bosnia and Herzegovina,12700,69.43403330912112
Honduras,5600,29.517141823180904
Angola,6800,8.947043925520584
Rwanda,2100,21.82656381338663
Moldova,5700,71.74315459939363
Georgia,10700,50.019121739712936
Oman,45200,50.77738188835138
Uruguay,22400,66.2195534244325
Kuwait,66200,77.20508502751943
Qatar,124500,92.00853646469548
Lithuania,32300,75.17669968649284
Albania,12500,66.15894359129484
Panama,25400,53.31087925796572
Kyrgyzstan,3700,34.133086157106376
Mali,2200,10.85239816396141
Armenia,9500,62.12336106339471
Malawi,1200,9.300615339061606
El Salvador,8900,28.924997055254764
Tajikistan,3200,20.137378809017594
Latvia,27600,80.75384530733919
Slovenia,34400,75.72447196578717
Macedonia,14900,70.11386015541035
Nicaragua,5800,24.33063262545613
Bahrain,48500,95.77473772841122
Jamaica,9200,44.69572765778728
Libya,10000,19.933145053290065
Benin,2300,11.670973443230496
Haiti,1800,12.04771725811363
Laos,7400,17.651913801411197
Guinea,2000,9.546968724572286
Madagascar,1600,4.596294403951504
Estonia,31800,87.72272829325469
Turkmenistan,18100,17.788744630487265
Cyprus,37000,74.90784241974738
Togo,1700,11.014487658905054
Botswana,17800,39.26256220489079
Trinidad and Tobago,31400,69.44626861751031
Gabon,19200,47.13813757049635
Niger,1200,4.186477518926137
Namibia,11300,30.429977704263557
Mauritius,21600,52.90654296558211
Sierra Leone,1600,11.497526850927157
